中国 86
中国 852
中国 853
中国 886
北京	86-110000
天津	86-120000
河北	86-130000
石家庄	86-130000-130100
唐山	86-130000-130200
秦皇岛	86-130000-130300
邯郸	86-130000-130400
邢台	86-130000-130500
保定	86-130000-130600
张家口	86-130000-130700
承德	86-130000-130800
沧州	86-130000-130900
廊坊	86-130000-131000
衡水	86-130000-131100
山西	86-140000
太原	86-140000-140100
大同	86-140000-140200
阳泉	86-140000-140300
长治	86-140000-140400
晋城	86-140000-140500
朔州	86-140000-140600
晋中	86-140000-140700
运城	86-140000-140800
忻州	86-140000-140900
临汾	86-140000-141000
吕梁	86-140000-141100
内蒙古	86-150000
呼和浩特	86-150000-150100
包头	86-150000-150200
乌海	86-150000-150300
赤峰	86-150000-150400
通辽	86-150000-150500
鄂尔多斯	86-150000-150600
呼伦贝尔	86-150000-150700
巴彦淖尔	86-150000-150800
乌兰察布	86-150000-150900
兴安盟	86-150000-152200
锡林郭勒盟	86-150000-152500
阿拉善盟	86-150000-152900
辽宁	86-210000
沈阳	86-210000-210100
大连	86-210000-210200
鞍山	86-210000-210300
抚顺	86-210000-210400
本溪	86-210000-210500
丹东	86-210000-210600
锦州	86-210000-210700
营口	86-210000-210800
阜新	86-210000-210900
辽阳	86-210000-211000
盘锦	86-210000-211100
铁岭	86-210000-211200
朝阳	86-210000-211300
葫芦岛	86-210000-211400
吉林	86-220000
长春	86-220000-220100
吉林市	86-220000-220200
四平	86-220000-220300
辽源	86-220000-220400
通化	86-220000-220500
白山	86-220000-220600
松原	86-220000-220700
白城	86-220000-220800
延边朝鲜族自治州	86-220000-222400
黑龙江	86-230000
哈尔滨	86-230000-230100
齐齐哈尔	86-230000-230200
鸡西	86-230000-230300
鹤岗	86-230000-230400
双鸭山	86-230000-230500
大庆	86-230000-230600
伊春	86-230000-230700
佳木斯	86-230000-230800
七台河	86-230000-230900
牡丹江	86-230000-231000
黑河	86-230000-231100
绥化	86-230000-231200
大兴安岭地区	86-230000-232700
上海	86-310000
江苏	86-320000
南京	86-320000-320100
无锡	86-320000-320200
徐州	86-320000-320300
常州	86-320000-320400
苏州	86-320000-320500
南通	86-320000-320600
连云港	86-320000-320700
淮安	86-320000-320800
盐城	86-320000-320900
扬州	86-320000-321000
镇江	86-320000-321100
泰州	86-320000-321200
宿迁	86-320000-321300
浙江	86-330000
杭州	86-330000-330100
宁波	86-330000-330200
温州	86-330000-330300
嘉兴	86-330000-330400
湖州	86-330000-330500
绍兴	86-330000-330600
金华	86-330000-330700
衢州	86-330000-330800
舟山	86-330000-330900
台州	86-330000-331000
丽水	86-330000-331100
安徽	86-340000
合肥	86-340000-340100
芜湖	86-340000-340200
蚌埠	86-340000-340300
淮南	86-340000-340400
马鞍山	86-340000-340500
淮北	86-340000-340600
铜陵	86-340000-340700
安庆	86-340000-340800
黄山	86-340000-341000
滁州	86-340000-341100
阜阳	86-340000-341200
宿州	86-340000-341300
六安	86-340000-341500
亳州	86-340000-341600
池州	86-340000-341700
宣城	86-340000-341800
福建	86-350000
福州	86-350000-350100
厦门	86-350000-350200
莆田	86-350000-350300
三明	86-350000-350400
泉州	86-350000-350500
漳州	86-350000-350600
南平	86-350000-350700
龙岩	86-350000-350800
宁德	86-350000-350900
江西	86-360000
南昌	86-360000-360100
景德镇	86-360000-360200
萍乡	86-360000-360300
九江	86-360000-360400
新余	86-360000-360500
鹰潭	86-360000-360600
赣州	86-360000-360700
吉安	86-360000-360800
宜春	86-360000-360900
抚州	86-360000-361000
上饶	86-360000-361100
山东	86-370000
济南	86-370000-370100
青岛	86-370000-370200
淄博	86-370000-370300
枣庄	86-370000-370400
东营	86-370000-370500
烟台	86-370000-370600
潍坊	86-370000-370700
济宁	86-370000-370800
泰安	86-370000-370900
威海	86-370000-371000
日照	86-370000-371100
莱芜	86-370000-371200
临沂	86-370000-371300
德州	86-370000-371400
聊城	86-370000-371500
滨州	86-370000-371600
菏泽	86-370000-371700
河南	86-410000
郑州	86-410000-410100
开封	86-410000-410200
洛阳	86-410000-410300
平顶山	86-410000-410400
安阳	86-410000-410500
鹤壁	86-410000-410600
新乡	86-410000-410700
焦作	86-410000-410800
濮阳	86-410000-410900
许昌	86-410000-411000
漯河	86-410000-411100
三门峡	86-410000-411200
南阳	86-410000-411300
商丘	86-410000-411400
信阳	86-410000-411500
周口	86-410000-411600
驻马店	86-410000-411700
济源	86-410000-419001
湖北	86-420000
武汉	86-420000-420100
黄石	86-420000-420200
十堰	86-420000-420300
宜昌	86-420000-420500
襄阳	86-420000-420600
鄂州	86-420000-420700
荆门	86-420000-420800
孝感	86-420000-420900
荆州	86-420000-421000
黄冈	86-420000-421100
咸宁	86-420000-421200
随州	86-420000-421300
恩施土家族苗族自治州	86-420000-422800
仙桃	86-420000-429004
潜江	86-420000-429005
天门	86-420000-429006
神农架林区	86-420000-429021
湖南	86-430000
长沙	86-430000-430100
株洲	86-430000-430200
湘潭	86-430000-430300
衡阳	86-430000-430400
邵阳	86-430000-430500
岳阳	86-430000-430600
常德	86-430000-430700
张家界	86-430000-430800
益阳	86-430000-430900
郴州	86-430000-431000
永州	86-430000-431100
怀化	86-430000-431200
娄底	86-430000-431300
湘西土家族苗族自治州	86-430000-433100
广东	86-440000
广州	86-440000-440100
韶关	86-440000-440200
深圳	86-440000-440300
珠海	86-440000-440400
汕头	86-440000-440500
佛山	86-440000-440600
江门	86-440000-440700
湛江	86-440000-440800
茂名	86-440000-440900
肇庆	86-440000-441200
惠州	86-440000-441300
梅州	86-440000-441400
汕尾	86-440000-441500
河源	86-440000-441600
阳江	86-440000-441700
清远	86-440000-441800
东莞	86-440000-441900
中山	86-440000-442000
潮州	86-440000-445100
揭阳	86-440000-445200
云浮	86-440000-445300
广西	86-450000
南宁	86-450000-450100
柳州	86-450000-450200
桂林	86-450000-450300
梧州	86-450000-450400
北海	86-450000-450500
防城港	86-450000-450600
钦州	86-450000-450700
贵港	86-450000-450800
玉林	86-450000-450900
百色	86-450000-451000
贺州	86-450000-451100
河池	86-450000-451200
来宾	86-450000-451300
崇左	86-450000-451400
海南	86-460000
海口	86-460000-460100
三亚	86-460000-460200
三沙	86-460000-460300
儋州	86-460000-460400
五指山	86-460000-469001
琼海	86-460000-469002
文昌	86-460000-469005
万宁	86-460000-469006
东方	86-460000-469007
定安县	86-460000-469021
屯昌县	86-460000-469022
澄迈县	86-460000-469023
临高县	86-460000-469024
白沙黎族自治县	86-460000-469025
昌江黎族自治县	86-460000-469026
乐东黎族自治县	86-460000-469027
陵水黎族自治县	86-460000-469028
保亭黎族苗族自治县	86-460000-469029
琼中黎族苗族自治县	86-460000-469030
重庆	86-500000
四川	86-510000
成都	86-510000-510100
自贡	86-510000-510300
攀枝花	86-510000-510400
泸州	86-510000-510500
德阳	86-510000-510600
绵阳	86-510000-510700
广元	86-510000-510800
遂宁	86-510000-510900
内江	86-510000-511000
乐山	86-510000-511100
南充	86-510000-511300
